text,label
Stockout alert: Aashirvaad Atta is heavily demanded.,safe
"Hey distributor, can you deliver 5 cartons of Maggie tomorrow?",safe
Can you check my last invoice? I think you billed me twice for Vim Bar.,safe
Your EMI is due on 5th. Kindly maintain sufficient balance.,safe
Can you check my last invoice? I think you billed me twice for Vim Bar.,safe
Reminder: Complete your GST return filing before the 20th to avoid penalties.,safe
Stockout alert: Aashirvaad Atta is heavily demanded.,safe
"ALERT: Unauthorized login attempt on your bank account from Dubai. If this wasn't you, secure account immediately at http://bank-secure-alert.info",phishing
Update your banking details for direct deposit immediately. Link: http://paytm-kyc-verify.com,phishing
Update your banking details for direct deposit immediately. Link: http://paytm-kyc-verify.com,phishing
Stockout alert: Aashirvaad Atta is heavily demanded.,safe
URGENT: Your account will be locked. Click here to verify: http://bit.ly/secure-account,phishing
Claim your FREE trial of our new retail POS software. Install now: http://malware-link.xyz,phishing
Govt Alert: Download this app to receive subsidy for small businesses: http://subsidyscheme.apk,phishing
Govt Alert: Download this app to receive subsidy for small businesses: http://subsidyscheme.apk,phishing
Your supplier payment of Rs 5000 is received successfully. Ref: HDF12994,safe
I am sending you the payment via UPI in 5 mins.,safe
Claim your FREE trial of our new retail POS software. Install now: http://malware-link.xyz,phishing
Your parcel #9871 has been detained by customs. Pay Rs 500 fee here: http://customs.secure-pay.in,phishing
Delivery expected by 4PM today. Driver name: Raju (Ph: 9876543210).,safe
"Greetings, your shop registration is expiring. Renew here to avoid closure: http://msme-renewal1.com",phishing
Invoice #402 from distributor is attached for your reference.,safe
Your parcel #9871 has been detained by customs. Pay Rs 500 fee here: http://customs.secure-pay.in,phishing
Your parcel #9871 has been detained by customs. Pay Rs 500 fee here: http://customs.secure-pay.in,phishing
"Hey distributor, can you deliver 5 cartons of Maggie tomorrow?",safe
Claim your FREE trial of our new retail POS software. Install now: http://malware-link.xyz,phishing
"ALERT: Unauthorized login attempt on your bank account from Dubai. If this wasn't you, secure account immediately at http://bank-secure-alert.info",phishing
Delivery expected by 4PM today. Driver name: Raju (Ph: 9876543210).,safe
Your supplier payment of Rs 5000 is received successfully. Ref: HDF12994,safe
Reminder: Complete your GST return filing before the 20th to avoid penalties.,safe
Invoice #402 from distributor is attached for your reference.,safe
